input,target
SHE LIVE BOSTON .,She lives in Boston.
"DALLAS , WHICH STATE ?",Which state is Dallas in?
YOU THINK COLLEGE IMPORTANT ?,Do you think college is important?
MOTHER'S DAY WHEN ? SUNDAY MAY ELEVEN .,"Mother's Day is Sunday, May eleventh."
YES YOU WANT GO-OUT WHERE ?,"Yes, where do you want to go?"
FRIEND I SHOULD GO-THERE VISIT DAILY .,I should go to visit my friend every day.
I REFUSE GET-UP TIME FIVE MORNING REFUSEI,I refuse to get up at 5:00 in the morning!
HE PLACE NINTH .,He placed ninth.
WHO BUY CAR ?,Who bought a car?
YOUR MOM ADDRESS WHAT ?,What is your mom's address?
APPLE IT FIVE OUNCE EXACT  .,This apple is exactly 5 ounces.
"HELLO D-E-N-I-S-E , FEEL++ YOU ?","Hello Denise, how are you feeling?"
MY CAR IS NEXT TO YOUR CAR .,My car is next to your car.
L-U-D-W-I-G V-A-N B-E-E-T-H-O-V-E-N HIMSELF FAMOUS COMPOSER FROM GERMANY HIS HEAR DETERIORATED .,Ludwig van Beethoven was a famous composer from Germany who became deaf.
WEATHER TODAY WHAT? FOG .,Today the weather is foggy.
DEAF PERFORMANCE GROUP THERE L-A ESTABLISH .,A deaf theatre group has been established in Los Angeles.
TOMORROW SNOW MAYBE .,Maybe it will snow tomorrow.
CHOCOLATE ICE CREAM YOU LIKE ?,Do you like chocolate ice cream?
WHY YOU NEED PAY-ATTENTION ASL TEACH+AM ?,Why do you need to pay attention in ASL class?
"ODD , THAT TIME DURING AUTUMN , VERY-COLD OUTSIDE .",It was strange because it was fall and very cold outside.
HOW-MANY ?,How many?
TEMPERATURE LESS THAN ZERO .,The temperature is below zero.
HOW-MANY HOUR YOU STUDY HOW-MANY ?,How many hours did you study?
HERE UNITED STATES THIS-AREA++ NONE BASEMENT WHY? DISCUSS .,Discuss why some areas in the United States do not have a basement.
CHRISTMAS MY NIECE GOT WHAT? PINK GUITAR .,My niece got a pink guitar for Christmas.
CAR MOTOR CAN FIX YOU ?,Can you fix a car motor?
YOU EARN MORE-THAN TEN DOLLAR HOUR ?,Do you earn more than  dollars per hour?
"COOK WHAT , YOU ? SMELLS DELICIOUS !",What are you cooking? It smells delicious!
EIGHT CHILDREN FOUR DOG MY NEIGHBOR HAS .,My neighbor has 8 children and 4 dogs.
"YES , THEY DECIDE WRITE THEMSELVES .","Yes, they decided to write it themselves."
"I LIVE N-J , WORK N-Y . MORNING , DRIVE-TO N-Y AFTERNOON , DRIVE-TO-N-J .","I live in New Jersey and work in New York. In the morning, I drive to New York; in the afternoon, I drive to New Jersey."
YOUR APPOINTMENT TIME ?,What time is your appointment?
TEA MY AUNT L-I-S-A DOESN'T LIKE .,My aunt Lisa doesn't like tea.
SEVEN SNAKES I HAVE .,I have seven snakes.
I DISLIKE TELEPHONES .,I dislike telephones.
ALONE DEAF .,I'm the only deaf person there.
"WINDOW , YOU WASH FINISH ?",Did you wash the window?
NEW CAR HAVE YOU ?,Do you have a new car?
I TEACH .,I teach.
BASKETBALL YOU LIKE PLAY ?,Do you like playing basketball?
YOU LIVE DORM ?,Do you live in a dorm?
YOU HOME .,You are home.
FILE SAVE PLEASE .,Please save your file.
YOU-GIVE-I THREE PENCIL .,Give me 3 pencils.
"UNCLE , YOU HOW-MANY ?",How many uncles do you have?
YOUR SISTER AGE SIXTEEN MARRY NEXT-WEEK ?,Your sixteen year old sister is getting married next week?
YOU UNDERSTAND HE ?,Do you understand him?
DONKEY EASY PRACTICE ?,Is it easy to train a donkey?
EXCUSE I . I LOOK FOR INTERPRET+AM GO WHERE .,"Excuse me, I'm looking for the interpreter. Where should I go?"
I WANT CANDY .,I want some candy.
WHY WIFE NOW VISIT S-D ?,Why is your wife now visiting San Diego?
YESTERDAY I SEE .,"Yesterday, I saw."
YOU THINK MAN WORSE JEALOUS THAN WOMAN ?,Do you think men are more jealous than women?
"TOMORROW SNOW , I GO-AWAY SKIING .","If it snows tomorrow, I'll go skiing."
"BICYCLE , HAVE YOU ?",Do you have a bike?
"PEOPLE NAME , FORGET EASY YOU ?",Do you easily forget people's names?
MAN BUY WHAT ?,What did the man buy?
MEAN IT ?,What does that mean?
ONE-YEAR EQUAL HOW-MANY MONTH ?,How-many months are in a year?
KNOW-THAT HAVE PERFORMANCE NEW ?,Did you know there's a new play?
TELL WILL NEVER I .,I will never tell.
LAPTOP BUY FINISH .,I bought a laptop.
YEAR NINETEEN-TWENTY-SEVEN E-M-M-A BORN .,Emma was born in 1927.
NOT-YET MEET-HE .,I have not met him yet.
BEFORE FRIDAY I HAVE NONE HOMEWORK .,Last Friday I didn't have any homework.
MY NEPHEW OLD NINE .,My nephew is 9 years old.
THEY-LOOK-EACH-OTHER .,They looked at each other.
MARRY AGAIN WILL I .,I'll get married again.
BOOK YOU LIKE ?,What book do you like?
TOMORROW NEW YORK SLEET THIRTY-TWO DEGREES .,Tomorrow in New York will be thirty-two degrees and sleeting.
WATER FOUNTAIN CLASSROOM E-X-I-T HALLWAY .,Exit the classroom and it's down the hall on the right.
SHE WANT TABLE YELLOW .,She doesn't want a yellow table.
YOU THINK TEACH+AM NEED STAND ?,Do you think teachers should stand
I DON'T LIKE TYPING .,I don't like typing.
WHEN COLUMBUS DAY ?,When is Columbus Day?
BEFORE MONDAY I LECTURE TWO-HOUR .,Last Monday I lectured for 2 hours. 
WOMAN GO TO WORK .,The woman is leaving for work.
WHEN UNCLE LOSE SUITCASE ?,When did my uncle lose his suitcase?
"MY UNCLE LUCKY . MONEY , HE FIND-REPEATEDLY .",My uncle is lucky. He's always finding money.
SHE AGE WHAT ?,How old is she?
CAT NAMED M-Y-S-T-E-R-Y E-R-I-N HAS .,Erin has a cat named Mystery.
BATH SHOWER FINISH .,I already took a shower.
"THAT MAN , P-A-T SLAP BUT R-I-T-A KISS .","That man, Pat slapped him, but Rita kissed him."
WHAT BREAK WHAT ?,What broke?
MOVIE IT SHORT !,The movie is really short.
DESK WHITE ?,Is the desk white?
ONE-WEEK-FROM-NOW NEW JOB START I .,I have one week until I start my new job.
MEETING . WHEN? TIME SIX .,The meeting is at 6:00.
LAUNDRY SOCK LOST I .,I lost a sock in the laundry.
CAR HERE .,The car is here.
SHE NAME R-I-T-A SHE .,	Her name is Rita.
SIMPLE R-E-C-I-P-E BEST WHY? MANY INGREDIENTS NOT HAVE-TO BUY .,Simple recipes are the best because you don't have to buy many ingredients.
BEAUTIFUL SHE .,She is beautiful.
I SUGGEST WE LEAVE TOMORROW .,I suggested we leave tomorrow.
WASHINGTON D-C H-A-R-R-I-S-O-N BORN .,"Harrison was born in Washington, D.C."
"YES , SHE FIND .","Yes, she did."
NOW MORNING COLD .,It was cold this morning.
YOU KNOW MY TEACH+AM YOU ?,Do you know my teacher?
"THIS BUILDING , HOW-MANY FLOORS ?",How many floors does this building have?
YESTERDAY I BUY CAR I .,"Yesterday, I bought a car."
"FOOTBALL , YOUR FAVORITE TEAM ?",What's your favorite football team?
STATE YOU PREFER VISIT WHICH ?,WHICH STATE WOULD YOU PREFER TO VISIT?
LONG TIME !,That's a long time! 
"I WILL WANT , NEED , HUNGER , WILL? NEVER .","I will never want, need, or be hungry."
I DON'T-KNOW . YOU-MEET-HE WANT YOU ?,I don't know. Do you want to meet him?
"EXERCISE CLASS , I HOPE SISTER SUCCEED PERSUADE MOTHER TAKE UP .","The exercise class, I hope my sister manages to persuade my mother to take it."
YOU-BORROW-EACH-OF-WE-STOP-IT !,You borrow from each of us-stop it!
BEFORE C-A-R-P-E-T I BUY ROOM MEASURE I NEED .,I need to measure the room before I buy carpet.
J-O-H-N STAY PLAY .,John stayed and played.
"START PRACTICE COMPUTER , READY YOU ?",Are you ready to start practicing computer?
HAPPEN++ WHAT ?,What in the world is going on?
HE MAYBE HE .,He may.
CAN'T REMEMBER I .,I couldn't remember.
I-KNOW-YOU .,I know you.
HOW KNOW YOU ?,How did you find out?
"YESTERDAY , I WALK++ NOTICE-TO HOUSE WHO? MY GOOD FRIEND .","Yesterday, I was walking and noticed my good friend's house."
ELEVEN PLUS FOURTEEN EQUAL WHAT ?,Eleven plus fourteen equals what?
SHE HAVE BOYFRIEND ?,Does she have a boyfriend?
TIGERS I DISLIKE .,I dislike tigers.
GRANDFATHER HAVE CHAIR ?,Does grandfather have a chair?
IT STORE HAVE SHOES MANY IT .,The store has many pairs of shoes.
YOUR FATHER HOW OLD ?,How old is your father?
YOU WANT GO GALLAUDET FUTURE SOMEDAY ?,Do you want to go to Gallaudet University someday?
YESTERDAY I REMEMBER YOUR NAME . NOW NOT REMEMBER .,I remembered your name yesterday. Now I don't remember it.
GREEN TABLE I WANT I .,I want a green table.
STORE I GO-THERE .,I went to the store.
I FINE . WRONG ?,I am fine. What's wrong?
COLLEGE STUDENT I MAJOR WHAT? BIOLOGY .,I am a college student and I am majoring in biology.
"MY SISTER ARRIVE , I RELIEVE .",I was relieved when my sister arrived.
"TV , BLACK WHITE , YOU HAVE ?",Do you have a black and white TV?
GIRL SHE-TELL BOY SHE LOVE HE .,The girl told the boy that she loves him.
LIBRARY GO-TO RESEARCH MUST .,You've got to go to the library and do some research.
I NOT UNDERSTAND .,I do not understand.
I O-K . HOW YOU ?,I am OK. How are you?
MY FRIEND L-I-S-A SHE LIVE POSH NEIGHBORHOOD .,My friend Lisa lives in a posh neighborhood.
"DEAF COLLEGE STUDENT SOMETIMES USE NOTETAKER , WHY ?",Why do Deaf college students sometimes use notetakers?
"RESTAURANT , ORDER , EASY DECIDE YOU ?",Is it easy for you to decide what to order at a restaurant?
I BUY T-V CAPTION CAN'T WHY? NONE MONEY I .,I can't buy a TV decoder because I don't have any money.
MUST I TAKE-PILL DAILY .,I must take a pill every day.
YOUR SCHOOL LAKE NEAR ?,Is your school near a lake?
I HATE MY CAR .,I hate my car.
YOU YOUNG HAVE PLENTY .,You young people have plenty of things.
"M-A-T-T , GIRL-GROUP , HE LIKE O-L-G-A .","As for Matt, as for girls, he likes Olga."
"IT WANT SAVE , PROTECT SIGN FOR FUTURE DEAF .",They wanted to preserve and protect sign language for future generations of deaf people.
"YOU DON'T-WANT , WHY-NOT ?",Why don't you want to?
"THIS ROOM , PLUG WHERE ?",Where is the plug in this room?
BREAKFAST I COOK FINISH YOU WASH-DISH .,"I'll cook breakfast, then you can wash the dishes."
LONG VACATION FINISH HAPPEN WHAT? MY PLANT PLANT PLANT DIED .,"After my long vacation, all of my plants had died."
SEE BABY? CUTE HAPPY .,Do you see that baby? He's so cute and happy looking.
HOCKEY PLAY HOW ?,Do you know how to play hockey?
TWO-WEEK-AGO I BUY BACKPACK .,Two weeks ago I bought a backpack.
BOOK INTERESTING ?,Is the book interesting?
YEARLY MOUSE ENTER MY HOUSE .,Every year a mouse gets into my house.
I GO-THERE VISIT MY BROTHER FIND HE NOT HOME .,I went to visit my brother to find that he was not at home.
"YOU , CLOSE-BOOK .",Close the book.
I LIKE BALLS .,I like balls.
FOOTBALL MYSELF NG WHY? I SCARED I .,I'm no good at football because it scares me.
SHOCKED I .,I'm shocked.
BUTTERFLIES MONKEYS TURTLES A-B-B-Y LOVES .,"Abby loves butterflies, monkeys and turtles."
MY DAUGHTER WORKS WAITRESS SHE EARNS GOOD TIPS .,My daughter earns good tips working as a waitress.
IRELAND PEOPLE TEND CLOTHES GREEN ?,Do people in Ireland tend to wear green clothing?
EGGS COST FOUR DOLLAR SEVENTY-THREE CENTS .,Eggs cost $4.73.
"WHICH GO , I CAN'T DECIDE .",I can't decide which one I want to go to. 
WRENCH STORE IT HAVE NONE .,The store doesn't have a wrench.
HOW-MANY THERE ?,How many are there?
"WASHINGTON D-C , YOU WANT VISIT ?",Would you like to visit Washington D.C.?
WHO NOW VISIT S-D ?,Who is visiting San Diego now?
BIG MISTAKE I !,I made a huge mistake!
COLLECT MONEY HOW? CLUB TAKE-UP CAR WASH UNDERSTAND WE WASH .,We can raise the money by holding a car wash and washing them ourselves.
DURING TEST YOU COPY FRIEND PAPER ?,Do you copy your friend's paper during tests?
MY FRIEND FRANK HER STUDENT .,"My friend, Frank, is her student."
WORK DAY ++ ?,Do you work days?
OPEN-BOOK .,Open your books.
DO WEEKEND ?,What do you do on weekends?
MOUSE CAN SCARE ELEPHANT ?,Can a mouse scare an elephant?
V-E-T-E-R-A-N-S DAY PARADE YOU GO ?,Are you going to the Veteran's Day parade?
YOU WORK B-A-N-K RIGHT ?,"You work in a bank, right?"
I LOST WHY? NOT PAY-ATTENTION STREET NAME .,I didn't pay attention to the name of the street and got lost.
FINISH HE-ASK-I WAIT .,He already asked me to wait.
"TOMORROW , K-A-L PLANE ARRIVE TIME SIX .","Tomorrow, Kal's plane arrives at six."
I WITH ?,May I go with you?
S-A-R-A-H SEE WHO ?,Who did Sarah see?
I THINK VALUABLE MAYBE .,I think it might be valuable. 
M-A-R-Y A-L-I-C-E KNOW-WELL PAPER FINISH GIVE HE .,Mary Alice knows she gave the paper to him.
"YOUR FAVORITE STORE , WHAT ?",What is your favorite store?
I LOVE WRITE .,I love to write.
BED LIE-DOWN UP-TILL-NOW TWO WEEKS .,I was in bed for two weeks.
TOMORROW GIVE-I YOUR HOMEWORK ?,Give me your homework tomorrow?
I FRUSTRATE-CONTINUALLY .,I'm continually frustrated.
THURSDAY YOU GO-TO SCHOOL YOU ?,Are you going to school on Thursday?
HAPPY SEE .,I'm glad to see you.
MAKEUP IT FUN IT .,Makeup is fun!
YOU HURT WHERE ?,Where are you hurt?
MY NAME BILL  WHO YOU ?,My name is Bill Who are you?
"SATISFIED , NOT I .",I am not satisfied.
WANT JUMPSTART ?,Do you want me to jump it for you?
WEATHER TODAY WHAT? SLEET .,Today the weather is sleeting.
SUNDAY AFTERNOON YOU REST ?,Do you rest on Sunday afternoons?
NOT RIGHT IT .,It's not right.
I EXERCISE NOTHING . I SIT-CONTINUALLY ALL-DAY .,I don't exercise at all. I sit all day long.
YEARLY YOU SHOULD GO DOCTOR .,Every year you should go to the doctor.
MY MOTHER BEAUTIFUL .,My mother is beautiful.
TUESDAY MY LANDLORD WILL SPRAY MY APARTMENT WHY? BUGS .,My landlord is spraying my apartment for bugs on Tuesday.
YESTERDAY I WRITE SENTENCE MANY .,Yesterday I wrote many sentences.
SINCE THREE-YEAR NONE MONEY INCREASE . I DISAPPOINT .,For the last three years I haven't gotten a raise. I'm disappointed.
SHE DON'T-WANT GO SCHOOL .,She doesn't want to go to school.
NEVER I .,"No, never."
THREE DAYS WEEK LIBRARY I GO-TO .,I go to the library about 3 days a week.
SIGN HOW ?,How do you sign?
"CHASE CAT , DOG .","As for chasing the cat, the dog did it."
YOU LIKE TREES ?,Do you like trees?
AIRPLANE TAKEOFF TIME ?,What time does the plane take off?
E-R-N-E-S-T H-A-I-R-S-T-O-N HIMSELF DEAF ONE OF SIX FOUNDING MEMBERS BLACK DEAF ADVOCATES .,Ernest Hairston was one of the six founding members of the Black Deaf Advocates .
SHE BUY NOTHING .,She bought nothing.
YESTERDAY DOG I BUY .,Yesterday I bought a dog.
"MY FAVORITE SCIENCE F-I-C-T-I-O-N MOVIE WHAT? ""STAR WARS"" .","My favorite science fiction movie is ""Star Wars."""
FEEL A-LITTLE COLD .,I feel a little cold.
"HISTORY , YOU LIKE STUDY ?",Do you like to study history?
MY FAVORITE TIME SWIM WHEN? EIGHT MORNING .,My favorite time to swim is 8 in the morning.
TOMORROW SISTER OLD TWO .,"Tomorrow, my sister will be two years old."
EVERY-WEEK SKI-REPEATEDLY I .,I ski diligently every week.
TORNADO SCARE I .,I'm afraid of tornados.
I STAY ONE-HOUR CAN'T I .,I can't stay an hour.
BELT CAN'T .,I can't fasten my belt.
YOU LIKE PEAR ?,Do you like pears?
VETERAN'S DAY WHEN? WEDNESDAY NOVEMBER ELEVEN .,"Veteran's Day is Wednesday, November eleventh."
"HAPPEN APPEAR EVENT , TWO-THEY INFORM .","If something comes up, they'll keep each other posted."
MAN HE REMEMBER SIGN HE .,The man remembers signs.
MEET-REPEATEDLY DEAF .,I met deaf people several times.
TEXAS S-A-M-A-N-T-H-A BORN .,Samantha was born in Texas.
LONG SEE NO . HOW YOU ?,"Long time, no see! How have you been doing?"
SHE PRETTY .,She is pretty.
I REMEMBER TALL MAN .,I remember the tall man.
"MY UNCLE HOUSE , I GO-THERE-REPEATEDLY .",I often go to my uncle's house.
YOUR FAMILY LIKE WHAT ?,What's your family like?
"LEADER , SHE-ASK-I QUESTION .","The leader, she asked me a question."
I SUSPECT SHUT-DOWN .,I suspect it is dead.
SATISFIED I .,I'm satisfied.
ST . PATRICK'S DAY GREEN BEER I DRINK ALWAYS .,I always drink green beer on St. Patrick's Day.
T-T-Y ARRIVE WHEN ?,When did the TTY arrive?
NOW I CLASS GO-TO .,I am going to class now.
"TODAY , I STORY WRITE .",I am writing a story today.
WHO LAZY-EST PERSON YOU KNOW ?,Who is the laziest person you know?
I MAD I .,I am mad.
WIFE DIE .,My wife is dead.
DOG CHASE CAT .,The dog chases the cat.
TEACH+AM SAY F-A-T-I-M-A LIPREAD MOTHER .,The teacher said Fatima lipread mother.
I PLAY GAME .,I'm playing a game.
"YES , YOU MUST YOU .","Yes, you have to."
WHICH YEAR DEAF SEIZE GALLAUDET ?,In which year did the deaf seize Gallaudet?
BREAK LONG-AGO WHAT ?,What broke a long time ago?
SQUIRRELS I LIKE .,I like squirrels.
HOW-MANY PEOPLE YOUR FAMILY ?,How many people are in your family?
YOU WANT GO OUTSIDE YOU ?,Do you want to go outside?
HOUSE I DECIDE WHAT? NEED BUY  .,I decided I need to buy that house.
I KNOW BOOK I .,I know the book.
FATHER BECOME-ANGRY QMW ?,Has dad become angry?!
SHE SEE DOCTOR SHOULD SHE .,She should see a doctor.
TODAY SCHOOL I GO .,"Today, I am going to school."
CLASS I TAKE-UP WHERE? MY LOCAL LIBRARY .,I am taking a class at my local library.
HIS WIFE MEAN !,His wife is mean!
LAST-YEAR WATER FLOOD .,There was a flood last year.
"LAST-WEEK I BUY SIX FLOWER BEAUTIFUL , FRUSTRATE ALL DIE .","Last week I bought six beautiful flowers, but they all died."
COST APPROXIMATELY THREE-DOLLAR .,It costs about three dollars.
CAR WON'T START .,The car won't start. 
JEWISH OLD RELIGION .,Judaism is an old religion.
I GO-THERE-REPEATEDLY S-P-A LIFT-WEIGHTS I .,I often go to the spa to lift weights.
"TWO BROTHER , ONE DEAF , ONE HEAR .","I have two brothers, one is deaf, and the other is hearing."
"SUMMER OR WINTER , YOU LIKE BETTER WHICH ?","Which do you like better, summer or winter?"
DUCKS I AFRAID .,I am afraid of ducks.
OUR DANCE COMPETITION PRACTICE TOGETHER WE SHOULD .,We have to practice together for our dance competition.
I ALL-RIGHT .,I'm alright.
MY FRIEND BRING SOME MAGAZINE YESTERDAY .,My friend brought some magazines yesterday.
WHY DOG CHASE CAT ?,Why do dogs chase cats?
UP-TILL-NOW SEE NONE .,I haven't seen you for a long time.
"MY MOTHER , SHE HAVE YELLOW CHAIR .",My mother has a yellow chair.
TWO-THEY CHILDREN FIGHT-REPEATEDLY .,The two children fight all the time.
I PASS CLASS HOW? I STUDY .,I passed the class because I studied.
"SINCE I SICK-CONTINUALLY , FIND HAVE M-O-N-O-N-U-C-L-E-O-S-I-S .",For a long time I've been sick. I found out that I have mononucleosis. 
YOUR GRANDMOTHER DIE ?,Did your grandmother pass away?
I DEAF I .,I am deaf.
AUTO MECHANICS YOUR FAVORITE CLASS .,Your favorite class is auto mechanics.
AGAIN PLEASE .,Please repeat.
BUY HOUSE TWO-YEARS SON BORN .,"Two years after I bought a house, my son was born."
FRENCH FRIES MY STUDENT A-N-D-R-E LOVES .,My student Andre loves french fries.
HE-GIVE-SHE BOOK .,He is giving her the book.
IMMEDIATELY CARRY-I HOSPITAL .,He immediately put me in the hospital.
MILK MY UNCLE R-O-G-E-R LIKES .,My uncle Roger likes milk.
L-I-N-D-A B-O-V-E HERSELF DEAF ACTRESS .,Linda Bove is a deaf actress.
YOU EAT FINISH YOU ? NOT-YET .,Have you finished eating? Not yet.
YOU THINK TOMORROW RAIN ?,Do you think it will rain tomorrow?
TODAY WHAT? WORLD KINDNESS DAY .,Today is World Kindness Day.
MY UNCLE BORN WHERE? NEW MEXICO .,My uncle was born in New Mexico.
FLAG DAY WHEN ? JUNE FOURTEEN .,Flag Day is June fourteenth.
C-A-L R-O-D-G-E-R-S HE DEAF PILOT .,Cal Rodgers was a deaf pilot.
TELL NOT I .,I didn't tell him.
D-A-N LOVES I .,Dan loves me.
WHY PEOPLE STEAL ?,Why do people steal?
"I-F YOU WIN GAME , YOUR TEAM CHAMPION .","If you win the game, your team will be the champions."
GO-TO CHICAGO HOW? TRAIN PREFER I .,I like to take the train to Chicago.
PAPER THERE .,The paper is over there.
MAD HE .,He's mad.
I WALK WILL I .,I will walk over there.
I NOT HUNGRY .,I'm not hungry.
FOUR PIES MINUS THREE PIES EQUAL ONE PIE .,4 PIES - 3 PIES = 1 PIE
MAN FROM SPAIN HAVE SHIRT BLUE AND PANTS BLACK .,The man from Spain had on a blue shirt and black pants.
TODAY WEATHER FORECAST TORNADO .,Today's weather forecast is a tornado.
"STAND LOOK-AT-EACH-OF-THEY , PICK FAVORITE .","You stand there, watch them go past, and pick your favorite."
NEIGHBOR HE NEW HOUSE HE ENJOY .,The neighbor is enjoying his new house.
I FEEL SATISFIED .,I feel satisfied.
UP-TILL-NOW HOW ?,How have you been ?
COFFEE BLACK SHE LIKE .,She likes black coffee.
WE-THREE GOOD-FRIEND .,The three of us were good friends.
"TEACH+AM GONE , GO ROOM ONE-HUNDRED-AND-THREE .","If the teacher is gone, go to room 103."
"TOMORROW , I PICTURE DRAW .",I will draw a picture tomorrow.
YOU DRINK MILK ?,Do you drink milk?
YOUR GLASSES THERE .,Your classes are over there.
BEFORE I AFRAID WATER ONE DAY I RISK JUMPED-IN NOW I LOVE SWIM .,"I was afraid of the water, but I went for broke and jumped in, and now I love it."
I RECENTLY SEE MOVIE INTERESTING .,I just saw an interesting movie.
NOW TWO-WE MARRY SEVEN-YEAR .,Now the two of us have been married for seven years.
FAKE TOOTH I HAVE .,I have a fake tooth.
OLD-EIGHTEEN PEOPLE GRADUATE HIGH SCHOOL .,People tend to graduate high school at eighteen.
"C-H-U-C-K , E-D , T-O-N-Y , I , FOUR-OF-WE FEEL LECTURE BORING .","Chuck, Ed, Tony and I felt that the lecture was boring. "
I GO-THERE RESTAURANT HUNGRY FRUSTRATE CLOSED .,"I went to the restaurant and I was hungry, but the restaurant was closed so I didn't get to eat there."
"KNOW-THAT P-A-T , RECENT BUY CAR .",Pat just bought a car.
ORDER WHAT ?,What are you going to order ?
"I-MEET-YOU , TIME EIGHT .",I will meet you at eight.
"I DON'T-KNOW , SEEM I WRONG-CONTINUALLY .","I don't know, it seems like I'm wrong all the time."
FINISH PRINTING WRONG BAD PRINT CAN'T READ .,I had finished typing and was printing the document when the print turned out so bad that it couldn't be read.
NEXT-TUESDAY YOU DO ?,Next Tuesday what are you doing?
WYOMING WHERE? WEST .,Wyoming is in the west.
SEEM YOU BUSY .,You look busy.
"BANDAGE HELP PREVENT INFECTION , HOW ?",How does a bandage help prevent infection?
HE HOME ?,Is he home?
NOW WEEKEND I DO-DO NOTHING .,I'm doing nothing this weekend.
ICE CREAM MY FAV FLAVOR WHAT? BUTTER P-E-C-A-N .,My favorite flavor of ice cream is butter pecan.
"SENTENCE , YOU PUT-DOWN . I-COPY-YOU .",You put down a sentence. I'll copy you.
YOU-ASK-IT LIBRARY .,Ask your library.
YOU PREFER CAR HEAVY ?,Do you prefer a heavy car?
I WRONG I .,I am mistaken.
MOSQUITO EAT WHAT ?,What do mosquitoes eat?
YOU GALLAUDET YOU ?,Did you go to Gallaudet?
PIZZA I LOVE !,I love pizza!
CAR YOU WANT H-Y-B-R-I-D T-R-U-C-K WHICH ?,"What kind of car do you want, a hybrid or a truck?"
MISTAKE I . I DON'T-KNOW HE .,I had made a mistake. I didn’t know him.
"TURTLE FAST , SLOW , WHICH ?",Are turtles fast or slow?
M-L-K DAY WHEN ? MONDAY JANUARY TWENTY-ONE .,"Martin Luther King, Jr. Day is Monday, January twenty-first."
YOU FROM T-E-N-N YOU ?,Are you from Tennessee?
YOU BIKE ?,Do you bike?
WHAT ? I THINK SAME-AS-I .,What? I thought we agreed.
FEEL SICK YOU ?,Do you feel sick?
"BUT SOME CHARACTER NOT REAL , EXAGGERATED .",But some of the characters were not real and were exaggerated.
"COMPUTER SCIENCE PRACTICE , I MUST ?",Must I practice computer science?
"YES , I STUDENT .",Yes. I am a student.
"YOU CAN'T UNDERSTAND TEACHER , WHY ?",Why can't you understand the teacher?
"RELAX , YOU FEEL BETTER SOON .",Relax and you will feel better soon.
EXPLAIN BETIER WHY? CHOOSE CAN  .,Can you explain that better so I can choose?
IT HAVE PAPER IT .,There is paper.
MOUNTAIN GO-TO FISHING PLEASE .,I enjoy going to the mountains to fish.
"OLD TICKET , I-COLLECT THROW-OUT .",I collected the old tickets and threw them out.
LATER STOP FOR LUNCH .,"Later, we stopped for lunch."
TAKE-UP EXPLAIN Y-I-N-G .,Ying will do the explaining.
"YOUR SCIENCE BOOK , HAVE YOU ?",Do you have your science book?
I BUY CAR WILL I .,I will buy a car.
JAPAN HOST WORLD GAMES DEAF .,Japan is hosting the World Games for the Deaf.
"MY MAJOR , ALGEBRA .",My major is algebra.
FRIEND WILL HE-MEET-I TIME SIX .,My friend will meet me at six o'clock.
MOTHER WILL STAY ONE-WEEK .,Mother will stay one week.
YOU THINK FIND NEW ADDRESS EASY ?,Do you think finding new addresses is easy?
I FINISH SELL HOUSE I .,I already sold the house.
OH-I-SEE . UNDERSTAND I .,"Oh, I understand."
FAST INTERNET NONE I .,I don't have high-speed Internet access.
MY SISTER OLD THIRTY-THREE .,My sister is thirty-three years old.
"B-U-S TICKET , I BUY FINISH .",I have bought the bus ticket.
I LIKE WRITE .,I like to write.
GARAGE HAVE ?,Do you have a garage?
SHE OLD-SIXTY-TWO .,She's 62-years-old.
YOU EXCITED EASY ?,Do you get excited easily?
I NOT-YET I .,I haven't.
HOUSE LARGE OLD LIVE THERE PLEASE I TRUE .,I reallyed enjoyed living in that big old house.
MY GRANDFATHER LOOKS LIKE SANTA CLAUS .,My grandfather looks like Santa Claus.
"LEARN SIGN HE WANT , PRACTICE MUST HE .","If he wants to learn to sign, he has to practice."
CHURCH GO-TO EVERY-SUNDAY I .,I go to church every Sunday.
"SCHOOL FINISH , I-INFORM-EACH-OF-YOU G-R-A-D-E .","When school is over, l'll let each of you know your grade."
CANDY MY SON C-H-R-I-S DOESN'T LIKE .,My son Chris doesn't like candy.
MEAT I DON'T-LIKE I .,I don't like meat.
CAR YOU PUSH BEFORE ?,Have you ever pushed a car?
MY TENNIS C-L-U-B I VICE PRESIDENT .,I am the vice president of my tennis club.
HER DAUGHTER WORK HERE .,Her daughter works here.
YOU LIKE PEACH PIE ?,Do you like peach pie?
I FEEL GOOD I .,I feel good.
YOUR NAME T-I-N-A ?,Is your name Tina?
"COOL ! TECHNOLOGY TODAY , AWESOME .","Hey, that's cool! Today's technology is really awesome."
I WATCH COMPETITION .,I watch the competition.
CHEF SHE SURPRISE I HOW? CHOCOLATE CAKE GIVE-I .,The chef surprised me by giving me some chocolate cake.
YOU MIND I SMOKE ?,Would you mind if I smoke?
NAME PITTSBURGH FOOTBALL TEAM ?,What is the name of the football team in Pittsburgh?
"WHO LIKE COOKIE , WHO ?","Who likes cookies, who does?"
A-M-P-E-R-S-A-N-D SHORTCUT FOR WHAT ? WORD A-N-D .,The ampersand is a shortcut for the word and.
SHE WANT WORK FUNNY MOVIE ACTOR .,She wants to be a comedy movie actor.
SANDWICH HAMBURGER LIKE I .,I like sandwiches and hamburgers.
YOUR COMPUTER HAVE WEBCAM ?,Does your computer have a webcam?
