Gloss,Frequency
FINGERSPELLING,30
CLASS,30
WAIT,30
OLD,30
TIRED,30
POINT,30
LOYAL,30
FORK4,30
BORED2,30
PIPE4,30
BLUSH,30
ATLANTA,30
DISSOLVE,30
DRINK2,30
BUCKLE2,30
HAIR2,30
SPLASH-CA,30
BARK2,30
RELIEF,30
LISTEN,30
INSIDE,30
JAWDROP,30
WOMAN2,30
PREGNANT,30
DOMINANT,30
COLOR,30
WAY,30
BRACELET,30
BEAR,30
INJECT,30
LOOKFOR,30
SODA,30
START,30
ABOUT2,30
BATHTUB,30
ADOPT,30
BLOUSE,30
TURNAROUND,30
SILLY,30
ATTENTION,30
SOFTBALL,30
INTERPRET,30
DEFEAT,30
OLDEST,30
SCARF3,30
OOH,30
ELEMENTARYSCHOOL,30
THINKOBSESS,30
GROWUP,30
COOL4,30
TOUCH,30
QUEEN,30
CHEESE,30
SUNSET,30
TRANSGENDER,30
DEDICATE2,30
ARTICULATESIGN,30
HOOD,30
FORM,30
HELL,30
EVENT,30
POPE,30
SENTENCE1,30
PRISON,30
ELEPHANT,30
HOLIDAY,30
CHECK,30
BEDROOM,30
EARMUFFS,30
VALUE,30
RAINBOW,30
WHEEL,30
HARP,30
HIS,30
TOMORROW,30
INTENTIONAL,30
EXPERIENCED,30
PEAR,30
ROLLUPSLEEVES,30
OPTION,30
TAKE,30
YES,30
FEED2,30
RUN2,30
LEAD,30
HATCH1,30
UP,30
ACCENT,30
JELLYFISH,30
JUGGLER,30
HADENOUGH,30
DIP1,30
TUBETOP,30
REALSICK,30
STAPLER,30
CEILING,30
HURRICANE,30
BOYFRIEND,30
DOESNTMATTER,30
ONEYEARAGO,30
EXCITED,30
WORSE,30
LOOKLIKE,30
MINIMUM1,30
DELIBERATE,30
FOREST,30
BITEONNECK,30
RESCUE,30
NET,30
ACCEPT,30
TOUGH,30
TURNKEY,30
DENT,30
LEAK,30
PLOW1,30
GRANDPARENTS,30
FRY,30
GIVE,30
BAT1,30
CLIP,30
BEFORE,30
INSTINCT,30
BANDAID2,30
FUNCTION,30
CHAOS,30
AGENCY,30
MUSHROOM,30
JUMPROPE,30
EMPTY1,30
BREAKDOWN1,30
CHERRY2,30
RAZOR2,30
CROSS1,30
VAMPIRE,30
CRACKER2,30
CARROT2,30
SCREWDRIVER2,30
SMILE2,30
KNITTING1,30
ARREST3,30
BURY1,30
FAMOUS,30
FADE,30
THIS/IT,30
TURBAN,30
SINGLE,30
TOWEL,30
HURRY,30
LONG,30
SHAVE5,30
DELEGATE,30
APRIL,30
GRADUATESCHOOL,30
UPSET2,30
ASSIGN,30
UNTIL,30
PREDICT,30
DRUG,30
SHARP2,30
SHOUT1,30
LOAD2,30
ERASE3,30
SHOUT2,30
PARACHUTE3,30
LIGHTSON,30
WAND,30
COME,30
THROWAWAY,30
BERRY,30
PUTINBACKMIND,30
REQUEST,30
TAKEPILL,30
SPECIFIC,30
WINDOWOPEN,30
PAYOFFBILLS,30
MOTIVATION1,30
ERASE1,30
READY,30
WHYNOT,30
PROFOUNDLYDEAF,30
MANAGE,30
STORY3,30
TOPIC,30
BURP,30
NAKED,30
SHAMEONYOU,30
CULTURE,30
EARSUP,30
DONKEY,30
LEAGUE,30
ROAR2,30
ACQUIRE,30
DONTCARE,30
ALLOVERBODY,30
CLOSEDOOR,30
NECK,30
NOBIGDEAL,30
HUNDRED,30
VANISH,30
STAY,30
VOLUNTEER,30
IMPRESS,30
AVERAGE,30
BEND,30
SHOWER,30
REDUCE,30
NOT,30
COMMUTE,30
HAIRDRESSER,30
MAD,30
LASTWEEK,30
SHOOTING,30
INSTEAD,30
SYSTEM,30
CROWN,30
CALCULATOR,30
PLATFORM,30
DEDICATE1,30
DISPATCH,30
JOURNEY,30
HAT1,30
FIREMAN1,30
SLED2,30
GRANDFATHER,30
MUMMY,30
RESTLESS,30
SHUTOUT,30
STILL,30
THRILLED,30
GATECLOSE,30
MISS,30
FUN,30
CATCH3,30
FINGER,30
WINDY,30
BLESS,30
SUIT,30
ILOVEYOU,30
EASTER,30
MONSTER,30
ANTLERS,30
KILL,30
AWAY,30
SOMETIMES,30
DAUGHTER,30
INNOCENT,30
FIT,30
LOVE,30
NOTUNDERSTAND,30
EFFECT,30
PORCUPINE,30
CLOSET2,30
INDIAN,30
DOWNLOAD,30
DECORATE1,30
ELEVEN,30
BUBBLES,30
WALRUS,30
CHEW4,30
PINEAPPLE2,30
CRY3,30
KNIFE2,30
WADE1,30
HANG,30
APART,30
VASE,30
SHOVEL2,30
SHAPE,30
LONELY,30
FOR,30
LEAVE,30
ZOOMIN,30
EXPENSIVE,30
SERIOUS,30
GRIND,30
ROLE,30
WITHOUT,30
AGAINST,30
ONCE,30
NEXTYEAR,30
TWOWEEKS,30
CARRY,30
DROWN4,30
SINGLEOUT,30
LOAD1,30
SPECIALIST,30
SOCCER1,30
SHOES,30
PIG,30
TEA,30
SUMMER,30
VOLLEYBALL,30
FOOTBALL,30
SHOW,30
STAFF,30
UGLY,30
SORRY,30
FAMILY,30
CALM,30
W.H.A.T,30
CATCH1,30
HEADBACK,30
SAVEMONEY,30
UNAWARE,30
PHOTOGRAPHY,30
FRIDAY,30
ADMIRE,30
CALIFORNIA,30
NOTHINGATALL,30
GREAT,30
STACK3,30
WASHFACE2,30
TICKLE,30
HONGKONG,30
STUDY,30
QUARTER,30
FINGERSCROSSED,30
WHILE,30
HOLY,30
SHARP1,30
BURN,30
CRASH,30
STEAM,30
LINGUISTICS,30
KICK2,30
BASKET2,30
OPINION1,30
ICE,30
TORNADO,30
SPILL1,30
ONEMORE1,30
DUTY,30
SIREN,30
SOUND,30
NEEDLE,30
RESIST,30
NAVY,30
BLINK,30
PAIR,30
CANNON,30
CONVINCE2,30
ENVIRONMENT,30
DIZZY,30
COACH,30
IMMATURE,30
FENCE1,30
NEWSTOME,30
STAMP2,30
SCORE,30
HAVE,30
CERTIFICATE,30
FINGERSPELL,30
RELATIONSHIP,30
STRICT,30
BODY,30
BLINDS1,30
FREEWAY,30
TRY,30
PRETTY,30
ENGAGEMENT,30
PARADE,30
WAR,30
LIVE2,30
KNIFE1,30
TIMEPROGRESS,30
HANDSOFF,30
BUSTED,30
SAXOPHONE,30
VERY,30
PROGRAM,30
DREADLOCKS,30
DOCUMENT,30
CELERY,30
BACKUP,30
OCEAN,30
ARCHEOLOGY,30
NEXTTO,30
MICROPHONE,30
TAPE,30
REFRIGERATOR,30
HOLD1,30
DININGROOM,30
SAD,30
ISRAEL,30
HONEST,30
CENTER,30
STUBBORN,30
TRAFFIC,30
PUZZLED,30
AGE,30
KISSONCHEEK,30
BACKYARD,30
RUIN,30
LIPS,30
OPERATEMACHINE,30
LICK2,30
STUPID1,30
VISUALIZE,30
WEEKEND,30
SOUR,30
HALF,30
CONVINCE1,30
SKUNK,30
PERMISSION,30
RIDE2,30
RUNOUTOF,30
BRAILLE,30
BOW4,30
KNOCK,30
TOAGOAL,30
CAMEL,30
SLED1,30
SEVEN,30
ARGUE,30
FIX,30
MELON,30
NAIL,30
CURIOUS,30
PINON,30
SHOULD,30
BUFFALO,30
CLAUSE,30
FIRETRUCK,30
CARACCIDENT,30
SOFT,30
SWING2,30
CHIN,30
BOMB,30
FLAG1,30
GUM,30
BUTTONS,30
SLIDE1,30
MUSCLE,30
DESSERT,30
FENCING,30
AUDIENCE,30
TRUEBUSINESS,30
IMMERSE,30
MISSING,30
BULLDOZER,30
BIND,30
REFLECT,30
SPRING,30
HEARTTOUCH,30
PLAIN,30
WASHFACE1,30
SUPPORT1,30
PUT,30
WHITE,30
MENTION,30
WALLET,30
TISSUE,30
DROP,30
WOOD,30
PROBLEM2,30
ORDER2,30
FRUIT,30
CHILDREN,30
BONE,30
PINEAPPLE1,30
NEED,30
COMPUTERMOUSE,30
CHURCH,30
EYES,30
BENEFIT,30
CREATE,30
OPENWALLET,30
ROCKET2,30
CHARGECARD,30
WEIGHT,30
USE,30
OPENBOOK,30
TODAY,30
BEG,30
SPENDLOTSOFMONEY,30
DANGER,30
PJS,30
DELINQUENT,30
PENGUIN,30
WRAP,30
SHAME,30
RAT,30
OHISEE,30
STUCK,30
RELAX1,30
INTERPRETER,30
IMPACT,30
YOUNG,30
DICE,30
PHARMACIST,30
OBVIOUS,30
PLENTY,30
SILVER,30
TROPHY,30
EAR,30
BICYCLE,30
WELL,30
PEANUTBUTTER,30
GLASS2,30
CIRCLE,30
OFFHAND,30
CORKSCREW2,30
SCAN,30
ORAL,30
HAIRCUT,30
TANKTOP,30
HOUSE,30
SECRET,30
SNOW2,30
WATER,30
DISAGREEMENT,30
BABY1,30
PULL,30
SLEEP,30
POWER,30
EMAIL,30
NO,30
DIRTY,30
BALANCE,30
YESTERDAY,30
GOSSIP,30
SANDWICH3,30
CANDLE,30
LOBSTER2,30
SURE,30
KNITTING2,30
PIPE3,30
WANT2,30
ERASE2,30
JELLY,30
CAPTION,30
MIX2,30
LINE,30
INSURANCE,30
RUSSIA,30
CLOCK2,30
MOUNTAIN2,30
FLOAT2,30
BOIL1,30
ADDRESS,30
SOUTH,30
TELL,30
EGO,30
SCROLLDOWN,30
NOW,30
APPOINTMENT,30
GAME,30
BUSINESS,30
CRAWL1,30
HAMBURGER,30
MY,30
BREAK,30
BIRTH,30
EMPEROR,30
THEATRE,30
TURKEY1,30
HORRIBLE,30
NOISE,30
MEASURE2,30
MOP2,30
KANGAROO1,30
THERE,30
TALKDIRTY,30
SANDWICH4,30
BLOWCANDLE2,30
CURTSEY2,30
HITCHHIKE,30
PROXIMALIZATION,30
CURL2,30
BITCH,30
WHEELBARROW,30
PEEL3,30
WADE2,30
COWBOY,30
STRAWBERRY3,30
RAISIN,30
GETINFORMATIONOUTOF,30
GLOVES3,30
TRIM1,30
ENVELOPE2,30
SWEATER1,30
CHEW2MOUTH,30
SWEATSHIRT,30
FLY,30
LAMP1,30
HURT,30
CONTACT,30
MARRY,30
THROW1,30
NURSE,30
LEAF2,30
BLOWCANDLE1,30
CANADA,30
BOOTS2,30
TOW1,30
EARTH,30
WITH,30
COOL2,30
CATAPULT,30
PICNIC,30
UNDER,30
MIME,30
FAUCET,30
ZIPPER,30
THERMOMETER,30
SCHOOL,30
BOAT,30
GIRL,30
KID,30
TEETH,30
TEST,30
BARRETTE,30
OVERLOOK,30
CHEW1,30
RISK,30
BLACKBIRD,30
NUT2,30
KNIGHT4,30
KNIGHT3,30
DEALCARDS,30
GOTCHA,30
ALLTOGETHER,30
SNAIL,30
VAGINA,30
HIGHHEELS,30
UNIQUE,30
NAVEL,30
SNAPSTICK,30
MEDITATE2,30
PUNCHFACE,30
DESIGN,30
SLICE4,30
DILEMMA,30
TOY2,30
SOW,30
NOOSE,30
GARLIC,30
GUILLOTINE2,30
FINS,30
HAIRCLIPPER,30
CHIMNEY,30
SUSPENDERS2,30
MEACULPA,30
STETHOSCOPE2,30
SOMERSAULT1,30
FUZZY,30
FLASHLIGHT3,30
LESSON,30
REVENGE,30
EXCUSE,30
TOOTHBRUSH,30
BEAT,30
ATHLETE,30
MARCH,30
SLICE2,30
SUPERVISE,30
BOSTON,30
STRUGGLE,30
ROOMMATE,30
PARALLEL,30
WORKSHOP,30
REMEMBER1,30
VALIDATE,30
PASS,30
ERUPT1,30
AFTERNOON,30
MOOSE,30
DAMN,30
SHOOT1,30
SENIORCITIZEN,30
TWOOFUS,30
INFECTION,30
FROMTHENON,30
PHILADELPHIA,30
KINDERGARTEN,30
BRICK,30
BLANK,30
SURGERY,30
CAUGHT,30
GETOFF,30
SWEAT,30
DIRECTOR,30
CHAMP,30
LESBIAN,30
BOTHER,30
SCOUT,30
STIMULATE,30
REALLYINTO,30
CHEERLEADER1,30
DONTNEED,30
PERSPECTIVE,30
PUBLIC,30
WEIRD,30
BANDAID1,30
TENDENCY,30
VOCABULARY,30
SNOWMAN,30
CRANKY,30
REFUSE,30
SMOKE,30
JOIN,30
PRINCIPAL,30
JUICE2,30
POSTPONE,30
CHEW2,30
THESE,30
INVISIBLE,30
DISCONNECT,30
EVIDENCE,30
FAINT,30
TEMPORARY,30
WISE,30
HE,30
NOTMIND,30
STRONG,30
STRAW,30
SPREAD1,30
STAMP1,30
IF,30
GOATEE,30
HAHA,30
CLAW,30
FOLLOW2,30
INSPIRE,30
FRAME,30
BOW2,30
NERVE,30
COMPASS,30
ALLDAY,30
STRUCTURE,30
GREENBEANS,30
CHOKE,30
THINKPENETRATE,30
STADIUM,30
SO,30
EVERYTHING,30
THOUGHTDISAPPEAR,30
STARE,30
SIGNINGFLUENTLY,30
LIMITED,30
SCARMEMORY,30
QTIP,30
FAN,30
REDFACED,30
THUNDER,30
PUTASIDE,30
TAN,30
DICTIONARY,30
DRY,30
DYE,30
OVER,30
LIKE,30
MURDER,30
BAT2,30
BEST,30
MEMBER,30
WILL,30
FREEZE,30
DISTRACTED,30
BET,30
MAILMAN,30
TOGETHER,30
SEQUENCE,30
BUT,30
BYE,30
FEDUP,30
DRIVE,30
CAMERAMAN,30
PROOF,30
FLOAT3,30
FREEDOM,30
OUTSIDE,30
GOAL,30
LOOKFORWARD,30
FUNNY,30
ROOF,30
VANILLA,30
ON,30
FISHING1,30
BRA1,30
PANTS1,30
DEER,30
ROLLERSKATING,30
STUDENT,30
DEODORANT,30
WAITER,30
TRASH,30
CHAIR,30
KITE1,30
ROCKET1,30
DIAPER,30
MILK1,30
COFFEE,30
SOAP1,30
DORMITORY,30
COUNSELOR,30
DOLPHIN1,30
CANDY1,30
CUP,30
BLANKET,30
SALAD,30
WIFE,30
NEWSPAPER,30
OIL1,30
SKIRT,30
SCIENTIST,30
ROOM,30
SANDWICH1,30
CAT1,30
NEPHEW,30
INSULT,30
LANGUAGE,30
CEREAL,30
DANCER,30
COMPUTER,30
CHEAT1,30
MONTH,30
ANGEL,30
POTATO,30
TABLE,30
TIE1,30
ENGLISH,30
DUMB,30
GYM,30
PARK,30
RESENT,29
SOMERSAULT2,29
STETHOSCOPE3,29
CRAZY,29
NEGATIVE,29
KEEP,29
HOMEWORK,29
PSYCHOLOGIST,29
CAR,29
DRAW,29
AMAZING,29
HORSE,29
ISLAND,29
SANDALS,29
BRUSH,29
FULL,29
PILLOW1,29
MOON,29
FRIEND,29
KNIGHT2,29
WINDMILL2,29
GOD,29
CURL1,29
HUMBLE,29
DINOSAUR1,29
DEVIL,29
MOP1,29
FRANCE,29
REPLACE,29
ROAR1,29
MAKEBELIEVE,29
SWEET,29
TRIPLE,29
FOLLOW3,29
TABLET,29
FACULTY,29
DROWN1,29
LONGTIME,29
HALFHOUR,29
REMIND,29
WRAPUP2,29
ESCALATE,29
CAPE,29
CONDUCT2,29
OVERTAKE,29
FORMER,29
POSITIVE,29
ARM2,29
CHERISH,29
SEVERAL,29
TASTE,29
AGAIN,29
POLISH,29
RESPECT,29
FISHING2,29
ITCH,29
ENVELOPE4,29
STETHOSCOPE4,29
CONDUCT1,29
LETKNOW,29
PREACHER,29
MEET,29
MATCH,29
FORFEIT,29
BLEED,29
POOR,29
KISS2,29
IPHONE,29
GRANDMOTHER,29
BRA2,29
VILLAGE,29
CONFLICT,29
FURNITURE,29
DOLPHIN2,29
CAT2,29
FINALLY,29
CHEAT2,29
SELL,29
FOCUS,29
EXPERT,29
GRAPES2,29
RHINO1,29
PRESSINMIND,29
SAW2,29
CONDUCT3,29
RACECARTRACK,29
HELICOPTER1,29
SHIELD,29
STRAIN1,29
IDEA,29
RACE,29
HOTCOMPETITION,29
JUGGLE,29
DOLL,29
ADULT,29
BUN,29
SWIM2,29
STAND2,29
TEAR,29
CANOE,29
AGREEMENT,29
CALL1,29
DART,29
ENJOY,29
EARN,29
TAIL1,29
HEAR1,29
MAGIC,29
TV,29
LIGHTCANDLE,29
FRENCH,29
SIGNLANGUAGE,29
PET2,29
DUCK1,29
GUN1,29
NECKLACE2,29
DIP3,29
STRETCH1,29
RUNFAUCET,29
CAUSE,29
STRETCH-CA,29
ARRIVE,29
YEAH,29
SOCIAL,29
YAY,29
MUSIC,29
OWL,29
WORRY,29
PERCENT,29
PHONE,29
ACCIDENT,29
TREE,29
CHICAGO,29
SUN,29
NEXTDOWN,29
PRESIDENT,29
FRISK,29
LECTURE,29
SUNBATHE2,29
TALL1,29
KITE2,29
LOBSTER1,29
SHAMPOO,29
WEATHER,29
SNOW1,29
HIGH,29
ACCOMPLISH,29
PERCEIVE,29
SAIL1,29
HATBRIM,29
CASTLE2,29
SLICE3,29
CELEBRATE,29
TRIM2,29
PINCH2,29
LONGAGO,29
POP2,29
STEAK,29
THIRSTY,29
SMOKING,29
DROWN3,29
PAINT,29
PERSISTENT,29
FEBRUARY,29
CHANGE,29
LESS,29
EAGLE2,29
SHARK2,29
CLUELESS,29
FREE,29
ECLIPSE,29
SAFE,29
UNICORN,29
THINKEXPAND,29
LIGHTWEIGHT,29
DOWN,29
VIDEOGAME,29
DAY,29
FATHER,29
CLOUD3,29
MEETING,29
TO,29
STACK2,29
PROCESS,29
POP1,29
SUSPENDERS1,29
FLAG2,29
DRIBBLE,29
CATCHBASEBALL,29
HAIR1,28
OUT,28
HANGCLOTHES,28
BALL,28
CARROT3,28
TWINS2,24
DRAG2,24
HURDLE/TRIP2,24
LUNCH2,24
EAT2,24
DOG3,24
BASKETBALL3,24
DINNER2,24
MOVIE2,24
HOSPITAL2,24
CANCER2,24
DEVELOP2,24
BASKETBALL2,24
HALLOWEEN2,24
NIGHT2,23
BELIEVE2,23
DECIDE2,23
AXE2,23
RIVER2,23
NOON2,23
MICROSCOPE3,23
FINE2,23
CHRISTMAS2,23
DARK2,23
PARTY2,23
RESEARCH2,23
THIRD2,23
RECENT2,23
ELEVATOR2,23
DOG4,23
LOCK2,23
CALENDAR2,23
WHATFOR3,23
EDIT2,23
ROCKINGCHAIR2,23
DEAF2,23
BREAKFAST2,23
CANCEL2,23
FOREIGNER2,23
TAKEOFF2,23
CONFUSED2,23
BITE2,23
SPECIAL2,23
DOWNSIZE2,23
WHATFOR2,23
BACKPACK2,23
BELT2,22
THEY2,22
PATIENT3,22
MECHANIC2,22
SHAVE2,22
TYPE2,22
CLOUD2,22
GUESS2,22
DEMAND2,22
LETTUCE2,21
BEE2,21
